ParamName,AbsMaxDiff,LogFlag,FiducialVal,MinVal,MaxVal,Description
Omega0,0.2,0,0.3,0.1,0.5,OmegaMatter
sigma8,0.2,0,0.8,0.6,1.0,sigma8
SNMomentumBoostFactor, 4, 1, 1.0, 0.25, 4.0, feedback momentum -- ASN1
TwindMassLoadingBoostFactor, 4, 1, 1.0, 0.25, 4.0, wind mass loading -- ASN2
BondiAccretionBoostFactor, 4, 1, 1.0, 0.25, 4.0, Bondi accretion rate -- AGN1
AGNFeedbackTemperature, 4, 1, 3.16e8, 7.9e7, 1.26e9, tempereture jump in AGN -- AGN2
OmegaBaryon,0.02,0,0.0490,.0290,.0690,OmegaBaryon
HubbleParam,0.2,0,0.6711,.4711,.8711,Hubble parameter
n_s,0.2,0,0.9624,0.7624,1.1624,power spectrum spectral index
SFEfficiency, 5, 1, 0.01, 0.002, 0.05, star formation efficiency
CritPhysDensity, 10, 1, 0.1, 0.01, 1.0, density threshold for star formation
Nspawn, 2, 0, 2, 1, 4, number of stars per gas particle
SNIIEnergyBoostFactor, 4, 1, 1.0, 0.25, 4.0, Type-II SN energy per star-formation
SNIaEnergyBoostFactor, 4, 1, 1.0, 0.25, 4.0, Type-Ia SN energy per star-formation
HNfrac, 0.4, 0, 0.5, 0.1, 0.9, Hypernova number fraction
ZHN, 10, 1, 1e-3, 1e-4, 1e-2, Metallicity threshold for hypernova 
SNIIEventNumber, 2, 0, 2, 1, 4, number of Type-II SN per star particle
DesNumNgbFB, 4, 0, 8, 4, 12, number of neighbors for feedback
TwindCsndBoostFactor, 2, 1, 1.0, 0.5, 2.0, temperature of SN-driven galactic wind
TwindVwindBoostFactor, 2, 1, 1.0, 0.5, 2.0, velocity of SN-driven galactic wind
EddingtonAccretionBoostFactor, 10, 1, 1, 0.1, 10, Eddington accretion rate
Cvisc, 100, 1, 6.28e2, 6.28, 6.28e4, viscous parameter for BH accretion disk
BHRadiativeEfficiency, 4, 1, 0.1, 0.025, 0.4, BH radiative efficiency
AGNFeedbackEfficiency, 4, 1, 0.15, 0.0375, 0.6, AGN feedback efficiency
SeedBlackHoleMass, 10, 1, 1e-5, 1e-6, 1e-4, seed BH mass
MinFoFMassForNewSeed, 10, 1, 1, 0.1, 10, minimum FoF mass for new seed BH
